JP-01, Hokkaido, 北海道, ホッカイドウ, 01, 北海道,
JP-02, Aomori, 青森県, アオモリケン, 02, 東北,
JP-03, Iwate, 岩手県, イワテケン, 03, 東北,
JP-04, Miyagi, 宮城県, ミヤギケン, 04, 東北,
JP-05, Akita, 秋田県, アキタケン, 05, 東北,
JP-06, Yamagata, 山形県, ヤマガタケン, 06, 東北,
JP-07, Fukushima, 福島県, フクシマケン, 07, 東北,
JP-08, Ibaraki, 茨城県, イバラキケン, 08, 関東信越,
JP-09, Tochigi, 栃木県, トチギケン, 09, 関東信越,
JP-10, Gunma, 群馬県, グンマケン, 10, 関東信越,
JP-11, Saitama, 埼玉県, サイタマケン, 11, 関東信越,
JP-12, Chiba, 千葉県, チバケン, 12, 関東信越,
JP-13, Tokyo, 東京都, トウキョウト, 13, 関東信越,
JP-14, Kanagawa, 神奈川県, カナガワケン, 14, 関東信越,
JP-15, Niigata, 新潟県, ニイガタケン, 15, 関東信越,
JP-16, Toyama, 富山県, トヤマケン, 16, 東海北陸,
JP-17, Ishikawa, 石川県, イシカワケン, 17, 東海北陸,
JP-18, Fukui, 福井県, フクイケン, 18, 近畿,
JP-19, Yamanashi, 山梨県, ヤマナシケン, 19, 関東信越,
JP-20, Nagano, 長野県, ナガノケン, 20, 関東信越,
JP-21, Gifu, 岐阜県, ギフケン, 21, 東海北陸,
JP-22, Shizuoka, 静岡県, シズオカケン, 22, 東海北陸,
JP-23, Aichi, 愛知県, アイチケン, 23, 東海北陸,
JP-24, Mie, 三重県, ミエケン, 24, 東海北陸,
JP-25, Shiga, 滋賀県, シガケン, 25, 近畿,
JP-26, Kyoto, 京都府, キョウトフ, 26, 近畿,
JP-27, Osaka, 大阪府, オオサカフ, 27, 近畿,
JP-28, Hyogo, 兵庫県, ヒョウゴケン, 28, 近畿,
JP-29, Nara, 奈良県, ナラケン, 29, 近畿,
JP-30, Wakayama, 和歌山県, ワカヤマケン, 30, 近畿,
JP-31, Tottori, 鳥取県, トットリケン, 31, 中国四国,
JP-32, Shimane, 島根県, シマネケン, 32, 中国四国,
JP-33, Okayama, 岡山県, オカヤマケン, 33, 中国四国,
JP-34, Hiroshima, 広島県, ヒロシマケン, 34, 中国四国,
JP-35, Yamaguchi, 山口県, ヤマグチケン, 35, 中国四国,
JP-36, Tokushima, 徳島県, トクシマケン, 36, 四国,
JP-37, Kagawa, 香川県, カガワケン, 37, 四国,
JP-38, Ehime, 愛媛県, エヒメケン, 38, 四国,
JP-39, Kochi, 高知県, コウチケン, 39, 四国,
JP-40, Fukuoka, 福岡県, フクオカケン, 40, 九州,
JP-41, Saga, 佐賀県, サガケン, 41, 九州,
JP-42, Nagasaki, 長崎県, ナガサキケン, 42, 九州,
JP-43, Kumamoto, 熊本県, クマモトケン, 43, 九州,
JP-44, Oita, 大分県, オイタケン, 44, 九州,
JP-45, Miyazaki, 宮崎県, ミヤザキケン, 45, 九州,
JP-46, Kagoshima, 鹿児島県, カゴシマケン, 46, 九州,
JP-47, Okinawa, 沖縄県, オキナワケン, 47, 九州 